draw_type,draw_date,draw_number,digits,source,number
evening,2025-12-06,2500.0,"(1, 0, 7)",1 year of data 2025 - 2026.xlsx,1-0-7
evening,2025-12-05,2498.0,"(4, 3, 0)",1 year of data 2025 - 2026.xlsx,4-3-0
evening,2025-12-04,2496.0,"(7, 4, 4)",1 year of data 2025 - 2026.xlsx,7-4-4
evening,2025-12-03,2494.0,"(1, 3, 7)",1 year of data 2025 - 2026.xlsx,1-3-7
evening,2025-12-02,2492.0,"(5, 4, 6)",1 year of data 2025 - 2026.xlsx,5-4-6
evening,2025-12-01,2490.0,"(3, 3, 6)",1 year of data 2025 - 2026.xlsx,3-3-6
evening,2025-11-30,2488.0,"(7, 0, 4)",1 year of data 2025 - 2026.xlsx,7-0-4
evening,2025-11-29,2486.0,"(2, 6, 1)",1 year of data 2025 - 2026.xlsx,2-6-1
evening,2025-11-28,2484.0,"(9, 9, 5)",1 year of data 2025 - 2026.xlsx,9-9-5
evening,2025-11-27,2482.0,"(9, 7, 1)",1 year of data 2025 - 2026.xlsx,9-7-1
evening,2025-11-26,2480.0,"(9, 6, 8)",1 year of data 2025 - 2026.xlsx,9-6-8
evening,2025-11-25,2478.0,"(5, 2, 9)",1 year of data 2025 - 2026.xlsx,5-2-9
evening,2025-11-24,2476.0,"(8, 6, 8)",1 year of data 2025 - 2026.xlsx,8-6-8
evening,2025-11-23,2474.0,"(1, 2, 3)",1 year of data 2025 - 2026.xlsx,1-2-3
evening,2025-11-22,2472.0,"(5, 2, 1)",1 year of data 2025 - 2026.xlsx,5-2-1
evening,2025-11-21,2470.0,"(2, 6, 5)",1 year of data 2025 - 2026.xlsx,2-6-5
evening,2025-11-20,2468.0,"(2, 2, 6)",1 year of data 2025 - 2026.xlsx,2-2-6
evening,2025-11-19,2466.0,"(9, 2, 3)",1 year of data 2025 - 2026.xlsx,9-2-3
evening,2025-11-18,2464.0,"(6, 8, 7)",1 year of data 2025 - 2026.xlsx,6-8-7
evening,2025-11-17,2462.0,"(0, 7, 6)",1 year of data 2025 - 2026.xlsx,0-7-6
evening,2025-11-16,2460.0,"(9, 4, 6)",1 year of data 2025 - 2026.xlsx,9-4-6
evening,2025-11-15,2458.0,"(3, 0, 2)",1 year of data 2025 - 2026.xlsx,3-0-2
evening,2025-11-14,2456.0,"(1, 9, 1)",1 year of data 2025 - 2026.xlsx,1-9-1
evening,2025-11-13,2454.0,"(8, 7, 9)",1 year of data 2025 - 2026.xlsx,8-7-9
evening,2025-11-12,2452.0,"(6, 7, 1)",1 year of data 2025 - 2026.xlsx,6-7-1
evening,2025-11-11,2450.0,"(6, 9, 3)",1 year of data 2025 - 2026.xlsx,6-9-3
evening,2025-11-10,2448.0,"(4, 8, 1)",1 year of data 2025 - 2026.xlsx,4-8-1
evening,2025-11-09,2446.0,"(9, 6, 7)",1 year of data 2025 - 2026.xlsx,9-6-7
evening,2025-11-08,2444.0,"(9, 3, 8)",1 year of data 2025 - 2026.xlsx,9-3-8
evening,2025-11-07,2442.0,"(7, 0, 5)",1 year of data 2025 - 2026.xlsx,7-0-5
evening,2025-11-06,2440.0,"(2, 6, 8)",1 year of data 2025 - 2026.xlsx,2-6-8
evening,2025-11-05,2438.0,"(2, 5, 3)",1 year of data 2025 - 2026.xlsx,2-5-3
evening,2025-11-04,2436.0,"(3, 9, 3)",1 year of data 2025 - 2026.xlsx,3-9-3
evening,2025-11-03,2434.0,"(8, 1, 1)",1 year of data 2025 - 2026.xlsx,8-1-1
evening,2025-11-02,2432.0,"(0, 1, 6)",1 year of data 2025 - 2026.xlsx,0-1-6
evening,2025-11-01,2430.0,"(9, 9, 2)",1 year of data 2025 - 2026.xlsx,9-9-2
evening,2025-10-31,2428.0,"(9, 9, 8)",1 year of data 2025 - 2026.xlsx,9-9-8
evening,2025-10-30,2426.0,"(7, 1, 6)",1 year of data 2025 - 2026.xlsx,7-1-6
evening,2025-10-29,2424.0,"(0, 8, 6)",1 year of data 2025 - 2026.xlsx,0-8-6
evening,2025-10-28,2422.0,"(2, 9, 9)",1 year of data 2025 - 2026.xlsx,2-9-9
evening,2025-10-27,2420.0,"(0, 4, 3)",1 year of data 2025 - 2026.xlsx,0-4-3
evening,2025-10-26,2418.0,"(4, 1, 5)",1 year of data 2025 - 2026.xlsx,4-1-5
evening,2025-10-25,2416.0,"(6, 5, 7)",1 year of data 2025 - 2026.xlsx,6-5-7
evening,2025-10-24,2414.0,"(4, 8, 1)",1 year of data 2025 - 2026.xlsx,4-8-1
evening,2025-10-23,2412.0,"(9, 3, 5)",1 year of data 2025 - 2026.xlsx,9-3-5
evening,2025-10-22,2410.0,"(0, 8, 5)",1 year of data 2025 - 2026.xlsx,0-8-5
evening,2025-10-21,2408.0,"(8, 7, 3)",1 year of data 2025 - 2026.xlsx,8-7-3
evening,2025-10-20,2406.0,"(1, 2, 9)",1 year of data 2025 - 2026.xlsx,1-2-9
evening,2025-10-19,2404.0,"(0, 3, 2)",1 year of data 2025 - 2026.xlsx,0-3-2
evening,2025-10-18,2402.0,"(5, 1, 1)",1 year of data 2025 - 2026.xlsx,5-1-1
evening,2025-10-17,2400.0,"(6, 1, 1)",1 year of data 2025 - 2026.xlsx,6-1-1
evening,2025-10-16,2398.0,"(5, 0, 0)",1 year of data 2025 - 2026.xlsx,5-0-0
evening,2025-10-15,2396.0,"(7, 4, 4)",1 year of data 2025 - 2026.xlsx,7-4-4
evening,2025-10-14,2394.0,"(8, 5, 6)",1 year of data 2025 - 2026.xlsx,8-5-6
evening,2025-10-13,2392.0,"(1, 6, 8)",1 year of data 2025 - 2026.xlsx,1-6-8
evening,2025-10-12,2390.0,"(6, 0, 5)",1 year of data 2025 - 2026.xlsx,6-0-5
evening,2025-10-11,2388.0,"(4, 9, 1)",1 year of data 2025 - 2026.xlsx,4-9-1
evening,2025-10-10,2386.0,"(6, 1, 3)",1 year of data 2025 - 2026.xlsx,6-1-3
evening,2025-10-09,2384.0,"(6, 6, 4)",1 year of data 2025 - 2026.xlsx,6-6-4
evening,2025-10-08,2382.0,"(7, 2, 5)",1 year of data 2025 - 2026.xlsx,7-2-5
evening,2025-10-07,2380.0,"(3, 4, 5)",1 year of data 2025 - 2026.xlsx,3-4-5
evening,2025-10-06,2378.0,"(7, 0, 8)",1 year of data 2025 - 2026.xlsx,7-0-8
evening,2025-10-05,2376.0,"(4, 7, 6)",1 year of data 2025 - 2026.xlsx,4-7-6
evening,2025-10-04,2374.0,"(7, 5, 0)",1 year of data 2025 - 2026.xlsx,7-5-0
evening,2025-10-03,2372.0,"(7, 3, 5)",1 year of data 2025 - 2026.xlsx,7-3-5
evening,2025-10-02,2370.0,"(6, 0, 5)",1 year of data 2025 - 2026.xlsx,6-0-5
evening,2025-10-01,2368.0,"(4, 1, 6)",1 year of data 2025 - 2026.xlsx,4-1-6
evening,2025-09-30,2366.0,"(2, 6, 1)",1 year of data 2025 - 2026.xlsx,2-6-1
evening,2025-09-29,2364.0,"(2, 1, 6)",1 year of data 2025 - 2026.xlsx,2-1-6
evening,2025-09-28,2362.0,"(3, 4, 8)",1 year of data 2025 - 2026.xlsx,3-4-8
evening,2025-09-27,2360.0,"(8, 8, 7)",1 year of data 2025 - 2026.xlsx,8-8-7
evening,2025-09-26,2358.0,"(1, 6, 6)",1 year of data 2025 - 2026.xlsx,1-6-6
evening,2025-09-25,2356.0,"(5, 1, 3)",1 year of data 2025 - 2026.xlsx,5-1-3
evening,2025-09-24,2354.0,"(1, 2, 0)",1 year of data 2025 - 2026.xlsx,1-2-0
evening,2025-09-23,2352.0,"(5, 8, 9)",1 year of data 2025 - 2026.xlsx,5-8-9
evening,2025-09-22,2350.0,"(4, 7, 9)",1 year of data 2025 - 2026.xlsx,4-7-9
evening,2025-09-21,2348.0,"(1, 6, 6)",1 year of data 2025 - 2026.xlsx,1-6-6
evening,2025-09-20,2346.0,"(3, 6, 2)",1 year of data 2025 - 2026.xlsx,3-6-2
evening,2025-09-19,2344.0,"(6, 3, 7)",1 year of data 2025 - 2026.xlsx,6-3-7
evening,2025-09-18,2342.0,"(9, 4, 7)",1 year of data 2025 - 2026.xlsx,9-4-7
evening,2025-09-17,2340.0,"(2, 9, 6)",1 year of data 2025 - 2026.xlsx,2-9-6
evening,2025-09-16,2338.0,"(2, 9, 0)",1 year of data 2025 - 2026.xlsx,2-9-0
evening,2025-09-15,2336.0,"(7, 1, 3)",1 year of data 2025 - 2026.xlsx,7-1-3
evening,2025-09-14,2334.0,"(8, 6, 8)",1 year of data 2025 - 2026.xlsx,8-6-8
evening,2025-09-13,2332.0,"(8, 8, 9)",1 year of data 2025 - 2026.xlsx,8-8-9
evening,2025-09-12,2330.0,"(4, 8, 9)",1 year of data 2025 - 2026.xlsx,4-8-9
evening,2025-09-11,2328.0,"(9, 9, 4)",1 year of data 2025 - 2026.xlsx,9-9-4
evening,2025-09-10,2326.0,"(0, 6, 2)",1 year of data 2025 - 2026.xlsx,0-6-2
evening,2025-09-09,2324.0,"(4, 7, 7)",1 year of data 2025 - 2026.xlsx,4-7-7
evening,2025-09-08,2322.0,"(8, 2, 0)",1 year of data 2025 - 2026.xlsx,8-2-0
evening,2025-09-07,2320.0,"(4, 9, 1)",1 year of data 2025 - 2026.xlsx,4-9-1
evening,2025-09-06,2318.0,"(0, 0, 9)",1 year of data 2025 - 2026.xlsx,0-0-9
evening,2025-09-05,2316.0,"(3, 9, 5)",1 year of data 2025 - 2026.xlsx,3-9-5
evening,2025-09-04,2314.0,"(8, 8, 9)",1 year of data 2025 - 2026.xlsx,8-8-9
evening,2025-09-03,2312.0,"(3, 1, 3)",1 year of data 2025 - 2026.xlsx,3-1-3
evening,2025-09-02,2310.0,"(4, 5, 8)",1 year of data 2025 - 2026.xlsx,4-5-8
evening,2025-09-01,2308.0,"(4, 9, 3)",1 year of data 2025 - 2026.xlsx,4-9-3
evening,2025-08-31,2306.0,"(1, 8, 9)",1 year of data 2025 - 2026.xlsx,1-8-9
evening,2025-08-30,2304.0,"(4, 5, 5)",1 year of data 2025 - 2026.xlsx,4-5-5
evening,2025-08-29,2302.0,"(0, 9, 1)",1 year of data 2025 - 2026.xlsx,0-9-1
evening,2025-08-28,2300.0,"(0, 6, 5)",1 year of data 2025 - 2026.xlsx,0-6-5
evening,2025-08-27,2298.0,"(7, 2, 8)",1 year of data 2025 - 2026.xlsx,7-2-8
evening,2025-08-26,2296.0,"(8, 2, 0)",1 year of data 2025 - 2026.xlsx,8-2-0
evening,2025-08-25,2294.0,"(4, 0, 2)",1 year of data 2025 - 2026.xlsx,4-0-2
evening,2025-08-24,2292.0,"(7, 0, 3)",1 year of data 2025 - 2026.xlsx,7-0-3
evening,2025-08-23,2290.0,"(6, 6, 8)",1 year of data 2025 - 2026.xlsx,6-6-8
evening,2025-08-22,2288.0,"(5, 8, 0)",1 year of data 2025 - 2026.xlsx,5-8-0
evening,2025-08-21,2286.0,"(8, 4, 5)",1 year of data 2025 - 2026.xlsx,8-4-5
evening,2025-08-20,2284.0,"(6, 1, 2)",1 year of data 2025 - 2026.xlsx,6-1-2
evening,2025-08-19,2282.0,"(0, 3, 6)",1 year of data 2025 - 2026.xlsx,0-3-6
evening,2025-08-18,2280.0,"(1, 3, 1)",1 year of data 2025 - 2026.xlsx,1-3-1
evening,2025-08-17,2278.0,"(6, 6, 7)",1 year of data 2025 - 2026.xlsx,6-6-7
evening,2025-08-16,2276.0,"(9, 2, 2)",1 year of data 2025 - 2026.xlsx,9-2-2
evening,2025-08-15,2274.0,"(0, 8, 1)",1 year of data 2025 - 2026.xlsx,0-8-1
evening,2025-08-14,2272.0,"(3, 8, 3)",1 year of data 2025 - 2026.xlsx,3-8-3
evening,2025-08-13,2270.0,"(2, 3, 8)",1 year of data 2025 - 2026.xlsx,2-3-8
evening,2025-08-12,2268.0,"(7, 4, 5)",1 year of data 2025 - 2026.xlsx,7-4-5
evening,2025-08-11,2266.0,"(6, 6, 8)",1 year of data 2025 - 2026.xlsx,6-6-8
evening,2025-08-10,2264.0,"(5, 0, 3)",1 year of data 2025 - 2026.xlsx,5-0-3
evening,2025-08-09,2262.0,"(1, 7, 1)",1 year of data 2025 - 2026.xlsx,1-7-1
evening,2025-08-08,2260.0,"(1, 8, 5)",1 year of data 2025 - 2026.xlsx,1-8-5
evening,2025-08-07,2258.0,"(6, 4, 4)",1 year of data 2025 - 2026.xlsx,6-4-4
evening,2025-08-06,2256.0,"(0, 9, 2)",1 year of data 2025 - 2026.xlsx,0-9-2
evening,2025-08-05,2254.0,"(1, 4, 9)",1 year of data 2025 - 2026.xlsx,1-4-9
evening,2025-08-04,2252.0,"(0, 4, 9)",1 year of data 2025 - 2026.xlsx,0-4-9
evening,2025-08-03,2250.0,"(6, 7, 3)",1 year of data 2025 - 2026.xlsx,6-7-3
evening,2025-08-02,2248.0,"(4, 7, 1)",1 year of data 2025 - 2026.xlsx,4-7-1
evening,2025-08-01,2246.0,"(6, 4, 2)",1 year of data 2025 - 2026.xlsx,6-4-2
evening,2025-07-31,2244.0,"(2, 3, 7)",1 year of data 2025 - 2026.xlsx,2-3-7
evening,2025-07-30,2242.0,"(9, 8, 7)",1 year of data 2025 - 2026.xlsx,9-8-7
evening,2025-07-29,2240.0,"(4, 1, 0)",1 year of data 2025 - 2026.xlsx,4-1-0
evening,2025-07-28,2238.0,"(5, 8, 1)",1 year of data 2025 - 2026.xlsx,5-8-1
evening,2025-07-27,2236.0,"(4, 1, 6)",1 year of data 2025 - 2026.xlsx,4-1-6
evening,2025-07-26,2234.0,"(2, 7, 2)",1 year of data 2025 - 2026.xlsx,2-7-2
evening,2025-07-25,2232.0,"(1, 0, 7)",1 year of data 2025 - 2026.xlsx,1-0-7
evening,2025-07-24,2230.0,"(5, 5, 8)",1 year of data 2025 - 2026.xlsx,5-5-8
evening,2025-07-23,2228.0,"(8, 2, 7)",1 year of data 2025 - 2026.xlsx,8-2-7
evening,2025-07-22,2226.0,"(4, 9, 9)",1 year of data 2025 - 2026.xlsx,4-9-9
evening,2025-07-21,2224.0,"(7, 4, 3)",1 year of data 2025 - 2026.xlsx,7-4-3
evening,2025-07-20,2222.0,"(0, 4, 2)",1 year of data 2025 - 2026.xlsx,0-4-2
evening,2025-07-19,2220.0,"(9, 4, 9)",1 year of data 2025 - 2026.xlsx,9-4-9
evening,2025-07-18,2218.0,"(0, 4, 6)",1 year of data 2025 - 2026.xlsx,0-4-6
evening,2025-07-17,2216.0,"(8, 2, 8)",1 year of data 2025 - 2026.xlsx,8-2-8
evening,2025-07-16,2214.0,"(7, 9, 0)",1 year of data 2025 - 2026.xlsx,7-9-0
evening,2025-07-15,2212.0,"(2, 9, 8)",1 year of data 2025 - 2026.xlsx,2-9-8
evening,2025-07-14,2210.0,"(1, 9, 9)",1 year of data 2025 - 2026.xlsx,1-9-9
evening,2025-07-13,2208.0,"(4, 3, 4)",1 year of data 2025 - 2026.xlsx,4-3-4
evening,2025-07-12,2206.0,"(2, 6, 4)",1 year of data 2025 - 2026.xlsx,2-6-4
evening,2025-07-11,2204.0,"(2, 1, 4)",1 year of data 2025 - 2026.xlsx,2-1-4
evening,2025-07-10,2202.0,"(7, 7, 7)",1 year of data 2025 - 2026.xlsx,7-7-7
evening,2025-07-09,2200.0,"(5, 4, 8)",1 year of data 2025 - 2026.xlsx,5-4-8
evening,2025-07-08,2198.0,"(0, 0, 6)",1 year of data 2025 - 2026.xlsx,0-0-6
evening,2025-07-07,2196.0,"(3, 7, 4)",1 year of data 2025 - 2026.xlsx,3-7-4
evening,2025-07-06,2194.0,"(4, 5, 9)",1 year of data 2025 - 2026.xlsx,4-5-9
evening,2025-07-05,2192.0,"(9, 3, 9)",1 year of data 2025 - 2026.xlsx,9-3-9
evening,2025-07-04,2190.0,"(3, 7, 7)",1 year of data 2025 - 2026.xlsx,3-7-7
evening,2025-07-03,2188.0,"(1, 5, 6)",1 year of data 2025 - 2026.xlsx,1-5-6
evening,2025-07-02,2186.0,"(4, 4, 9)",1 year of data 2025 - 2026.xlsx,4-4-9
evening,2025-07-01,2184.0,"(9, 1, 0)",1 year of data 2025 - 2026.xlsx,9-1-0
evening,2025-06-30,2182.0,"(8, 4, 9)",1 year of data 2025 - 2026.xlsx,8-4-9
evening,2025-06-29,2180.0,"(5, 0, 5)",1 year of data 2025 - 2026.xlsx,5-0-5
evening,2025-06-28,2178.0,"(7, 9, 0)",1 year of data 2025 - 2026.xlsx,7-9-0
evening,2025-06-27,2176.0,"(9, 2, 7)",1 year of data 2025 - 2026.xlsx,9-2-7
evening,2025-06-26,2174.0,"(8, 1, 7)",1 year of data 2025 - 2026.xlsx,8-1-7
evening,2025-06-25,2172.0,"(9, 9, 8)",1 year of data 2025 - 2026.xlsx,9-9-8
evening,2025-06-24,2170.0,"(7, 8, 1)",1 year of data 2025 - 2026.xlsx,7-8-1
evening,2025-06-23,2168.0,"(1, 6, 9)",1 year of data 2025 - 2026.xlsx,1-6-9
evening,2025-06-22,2166.0,"(3, 5, 8)",1 year of data 2025 - 2026.xlsx,3-5-8
evening,2025-06-21,2164.0,"(8, 5, 2)",1 year of data 2025 - 2026.xlsx,8-5-2
evening,2025-06-20,2162.0,"(6, 8, 9)",1 year of data 2025 - 2026.xlsx,6-8-9
evening,2025-06-19,2160.0,"(7, 8, 7)",1 year of data 2025 - 2026.xlsx,7-8-7
evening,2025-06-18,2158.0,"(0, 2, 3)",1 year of data 2025 - 2026.xlsx,0-2-3
evening,2025-06-17,2156.0,"(8, 8, 0)",1 year of data 2025 - 2026.xlsx,8-8-0
evening,2025-06-16,2154.0,"(0, 4, 8)",1 year of data 2025 - 2026.xlsx,0-4-8
evening,2025-06-15,2152.0,"(9, 2, 9)",1 year of data 2025 - 2026.xlsx,9-2-9
evening,2025-06-14,2150.0,"(9, 2, 6)",1 year of data 2025 - 2026.xlsx,9-2-6
