draw_type,draw_date,draw_number,number,source
midday,2026-02-07,,7-4-5,manual
midday,2026-02-08,,3-3-3,manual
midday,2026-02-09,,7-5-6,manual
midday,2026-02-10,,9-5-0,manual
midday,2026-02-11,,7-6-0,manual
midday,2026-03-12,,1-6-0,manual
midday,2026-03-13,,3-7-0,manual
